Article Name,Description,Link
Unique Forms of Continuity in Space,At least sixteen casts of this unique sculpture exist. Not to mention that the sculptor already made a few similar designs.,https://en.wikipedia.org/wiki/Unique_Forms_of_Continuity_in_Space
William Utermohlen,Utermohlen was an artist who drew self-portraits after being diagnosed with Alzheimer's disease in 1995 and would continue these portraits for six years until 2001.,https://en.wikipedia.org/wiki/William_Utermohlen
les UX,A French artistic movement that expresses itself in underground places.,https://en.wikipedia.org/wiki/Les_UX
The Woman with the Handbag,A very famous photo taken in Sweden where a woman hit a Neo-Nazi with her handbag.,https://en.wikipedia.org/wiki/The_Woman_with_the_Handbag
Acme Corporation,Their products have been used and endorsed by all the best cartoon characters.,https://en.wikipedia.org/wiki/Acme_Corporation
Afghanis-tan,Central Asian history has never been cuter. (Osama bin Laden makes an appearance as a turban-wearing stray cat.),https://en.wikipedia.org/wiki/Afghanis-tan
Archie Meets the Punisher,The team-up you thought would never happen.,https://en.wikipedia.org/wiki/Archie_Meets_the_Punisher
Archie vs. Predator,Teenagers somehow become worthy game.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Arm-Fall-Off-Boy,The first applicant to be rejected from the Legion of Super-Heroes. His superpower was the ability to temporarily detach either arm and use it as a club with the other.,https://en.wikipedia.org/wiki/Arm-Fall-Off-Boy
Arseface,A comic book character from none other than Vertigo Comics.,https://en.wikipedia.org/wiki/Arseface
Bobobo-bo Bo-bobo,Name of a Japanese manga (comic) whose subject matter is as surreal as its title.,https://en.wikipedia.org/wiki/Bobobo-bo_Bo-bobo
Cartoon physics,In animation humour takes precedence over the ordinary laws of physics.,https://en.wikipedia.org/wiki/Cartoon_physics
Censored Eleven,A group of Looney Tunes and Merrie Melodies cartoons pulled from syndication due to their racist depictions of black people.,https://en.wikipedia.org/wiki/Censored_Eleven
Cheat Slayer,An isekai manga which lasted for just one chapter before being axed after it was highlighted that many of the villainous characters were rather similar to the heroes from other isekai.,https://en.wikipedia.org/wiki/Cheat_Slayer
Clan McDuck,A fictional family in the style of a Scottish clan from which a great number of Walt Disney Company's comic book characters held their origin.,https://en.wikipedia.org/wiki/Clan_McDuck
Corona-chan,Fictional personification of the coronavirus which caused racial controversies.,https://en.wikipedia.org/wiki/Corona-chan
Cow Tools,A cartoon from the comic strip The Far Side that was so confusing thousands of people called the author trying to understand its meaning.,https://en.wikipedia.org/wiki/Cow_Tools
Comic book death,Comic book characters have a tendency to rarely if ever stay dead.,https://en.wikipedia.org/wiki/Comic_book_death
Der Fuehrer's Face,Donald Duck won an Oscar as a Hitler-saluting Nazi.,https://en.wikipedia.org/wiki/Der_Fuehrer%27s_Face
Ebola-chan,Fictional personification of the Ebola virus promoted with racist intentions.,https://en.wikipedia.org/wiki/Ebola-chan
Gorillas in comics,A curious abundance of gorillas in comic book plots during the Silver Age of Comics.,https://en.wikipedia.org/wiki/Gorillas_in_comics
Homosexuality in the Batman franchise,Do Bruce Wayne and Dick Grayson do more together than fighting crime?,https://en.wikipedia.org/wiki/Homosexuality_in_the_Batman_franchise
ISIS-chan,Fictional manga character created by Japanese internet users to oppose ISIS propaganda.,https://en.wikipedia.org/wiki/ISIS-chan
Jenny Everywhere,An open-source webcomic character.,https://en.wikipedia.org/wiki/Jenny_Everywhere
Kuso Miso Technique,A homoerotic scatological manga that ended up becoming an online meme.,https://en.wikipedia.org/wiki/Kuso_Miso_Technique
The Metric Marvels,A spinoff of Schoolhouse Rock that was part of the 1970s campaign to encourage use of the metric system in the U.S.,https://en.wikipedia.org/wiki/The_Metric_Marvels
Moe anthropomorphism,Even a washing machine can be the girl of your dreams.,https://en.wikipedia.org/wiki/Moe_anthropomorphism
Mr. Immortal,A Marvel Comics superhero with no special powers except immortality who has been killed in ways including crushing burning self-impalement on giant novelty scissors bear trap cannon chainsaw piranhas ferrets spear and python and alcohol poisoning (three times). Prone to fits of rage upon returning to life.,https://en.wikipedia.org/wiki/Mr._Immortal
NFL SuperPro,A comic book series about a super American football player perhaps taking Super Bowl too far.,https://en.wikipedia.org/wiki/NFL_SuperPro
Pinky & Pepper Forever,A short furry graphic novel dealing with themes such as Catholicism lesbianism relationship struggles BDSM suicide and the afterlife expressed through characters from a short-lived line of fashion dolls.,https://en.wikipedia.org/wiki/Pinky_%26_Pepper_Forever
Squirrel and Hedgehog,The height of the North Korean animation industry. A tale of talking animals as an allegory for the North Korean version of history featuring Americans depicted as laser-eyed wolves.,https://en.wikipedia.org/wiki/Squirrel_and_Hedgehog
Syaoran Li,What happens on Wikipedia when a group of manga artists take a character from one of their earlier works and perform several cross-references and plot twists.,https://en.wikipedia.org/wiki/Syaoran_Li
Tentacle erotica,Human-cephalopod sexual relations popular in hentai.,https://en.wikipedia.org/wiki/Tentacle_erotica
Truck-kun,The character responsible for sending more protagonists to other worlds than any other.,https://en.wikipedia.org/wiki/Truck-kun
112 Gripes About the French,A handbook produced to help American soldiers understand the French.,https://en.wikipedia.org/wiki/112_Gripes_About_the_French
Aldiborontiphoskyphorniostikos,Published in 1825 as a Victorian children's book and described as a round game for merry parties the object of the game was to quickly recite alphabetical tongue-twisting mock-Latin gibberish.,https://en.wikipedia.org/wiki/Aldiborontiphoskyphorniostikos
Anthropodermic bibliopegy,The practice of binding books in human skin.,https://en.wikipedia.org/wiki/Anthropodermic_bibliopegy
Atlanta Nights,A group of science fiction authors get together and deliberately write an absolutely horrible novel to fool and embarrass a vanity publisher.,https://en.wikipedia.org/wiki/Atlanta_Nights
The Book of Heroic Failures,A book which glorifies failure. Started off The Not Terribly Good Club of Great Britain.  The book was a success and thus declared a failure as a failure.,https://en.wikipedia.org/wiki/The_Book_of_Heroic_Failures
Bookseller/Diagram Prize for Oddest Title of the Year,Who can forget such classics as Greek Rural Postmen and Their Cancellation Numbers How to Avoid Huge Ships or Natural Bust Enlargement with Total Power: How to Increase the Other 90% of Your Mind to Increase the Size of Your Breasts?,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
La Bougie du Sapeur,A French newspaper published every February 29th.,https://en.wikipedia.org/wiki/La_Bougie_du_Sapeur
Bulwer-Lytton Fiction Contest,A contest to find the opening sentence to the worst of all possible novels.,https://en.wikipedia.org/wiki/Bulwer-Lytton_Fiction_Contest
Cain's Jawbone,A murder mystery puzzle book that only three people have solved since it was published in 1934.,https://en.wikipedia.org/wiki/Cain%27s_Jawbone
The Anarchist Cookbook,Have you ever been in need of an easy-to-follow bomb manual? Well now you have it.,https://en.wikipedia.org/wiki/The_Anarchist_Cookbook
Codex Seraphinianus,An illustrated encyclopedia of an imaginary world written in an imaginary language.,https://en.wikipedia.org/wiki/Codex_Seraphinianus
Confessions of an English Opium-Eater,This highly-popular autobiographical account about the effects of laudanum led several English authors to opium use.,https://en.wikipedia.org/wiki/Confessions_of_an_English_Opium-Eater
Henry Darger,Writer of a 15000-page manuscript along with several thousand watercolor paintings and other drawings illustrating the story who rarely left his small room. His word was worth millions a few years after his death.,https://en.wikipedia.org/wiki/Henry_Darger
Dinosaur erotica,Have you ever been Taken by a T-Rex or Ravished by a Triceratops?,https://en.wikipedia.org/wiki/Dinosaur_erotica
Death poem,The urge to have famous last words taken to its logical carefully rewritten extreme.,https://en.wikipedia.org/wiki/Death_poem
Empty book,A literal example of why you should not judge a book by its cover.,https://en.wikipedia.org/wiki/Empty_book
English as She Is Spoke,A 19th-century Portuguese–English conversational guide and phrase book that is regarded as a classic of unintentional humour since it was apparently the product of translating a Portuguese–French phrase book by non-English-speaking Portuguese with the help of a French–English phrase book.,https://en.wikipedia.org/wiki/English_as_She_Is_Spoke
English-language editions of The Hobbit,Now collectors' items because of their printing differences.,https://en.wikipedia.org/wiki/English-language_editions_of_The_Hobbit
Evil laughter,Mua-ha-haha-ha-haaa and the like.,https://en.wikipedia.org/wiki/Evil_laughter
The Eye of Argon,An infamously bad heroic fantasy novella written in 1970 by Jim Theis and circulated anonymously in science fiction fandom since then.,https://en.wikipedia.org/wiki/The_Eye_of_Argon
Fart Proudly,An essay written by Benjamin Franklin about flatulence.,https://en.wikipedia.org/wiki/Fart_Proudly
The First Blast of the Trumpet Against the Monstruous Regiment of Women,A 1558 diatribe by John Knox against Mary Queen of Scots and Mary Tudor.,https://en.wikipedia.org/wiki/The_First_Blast_of_the_Trumpet_Against_the_Monstruous_Regiment_of_Women
Fly Fishing by J. R. Hartley,A non-existent book by a non-existent author created for a Yellow Pages UK ad and made real eight years later.,https://en.wikipedia.org/wiki/Fly_Fishing:_Memories_of_Angling_Days
For sale: baby shoes never worn,Supposedly the shortest story possible in the English language though Ernest Hemingway had nothing to do with it.,https://en.wikipedia.org/wiki/For_sale:_baby_shoes,_never_worn
Future Library project,Project that collects an original work by a popular writer every year from 2014 to 2114. The works will remain unread and unpublished until 2114; one thousand trees were specially planted for the project; the 100 manuscripts will be printed using paper made from the trees.,https://en.wikipedia.org/wiki/Future_Library_project
Gadsby,A 50110-word long book famous for not using the letter e.,https://en.wikipedia.org/wiki/Gadsby_(novel)
Grammarians' War,At the start of the 16th century British schoolmasters were insulting one another. In Latin of course.,https://en.wikipedia.org/wiki/Grammarians%27_War
Hawking Index,Are you one of the 1.9% to have read Hillary Clinton's Hard Choices from cover-to-cover?,https://en.wikipedia.org/wiki/Hawking_Index
Help! Mom! There Are Liberals Under My Bed,The perfect picture book for your little conservative.,https://en.wikipedia.org/wiki/Help!_Mom!_There_Are_Liberals_Under_My_Bed
Hitler Diaries,A sensational discovery in 1983 which turned out to be an elaborate hoax.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Hogwarts School of Prayer and Miracles,A Harry Potter fanfiction apparently written by a Christian mother who clearly considers herself subordinate to her husband wanting her children to have a Christian version of Harry Potter. The story includes promotion of Creationism anti-Catholic rhetoric and an unnecessary number of Biblical references which the author eventually realises she has to start providing. The final chapter strongly implies the author is a troll but this is still an example of Poe's law.,https://en.wikipedia.org/wiki/Hogwarts_School_of_Prayer_and_Miracles
How I Killed Pluto and Why It Had It Coming,No this isn't about the murder of a Disney character. This is the memoir of the man responsible for declassifying Pluto.,https://en.wikipedia.org/wiki/How_I_Killed_Pluto_and_Why_It_Had_It_Coming
Hundred Thousand Billion Poems,Raymond Queneau's 1961 book consisting of ten sonnets printed on card with each line on a separate strip. As all ten sonnets have not just the same rhyme scheme but the same rhyme sounds any lines from a sonnet can be combined with any from the nine others allowing for 1014 (= 100000000000000) different poems.,https://en.wikipedia.org/wiki/Hundred_Thousand_Billion_Poems
I Am a Cat,A novel written from the perspective of a cat,https://en.wikipedia.org/wiki/I_Am_a_Cat
I Am God,A novel in which God is made to keep a diary to chronicle his love for an atheist.,https://en.wikipedia.org/wiki/I_Am_God_(novel)
I Libertine,A non-existent novel that was the subject of a hoax intended to criticize the manner in which best-seller lists are determined.,https://en.wikipedia.org/wiki/I,_Libertine
If Israel Lost the War,A very soft alternate history romance.,https://en.wikipedia.org/wiki/If_Israel_Lost_the_War
Lecherous Limericks,Dirty limericks... by Isaac Asimov.,https://en.wikipedia.org/wiki/Lecherous_Limericks
Lesbian vampire,They don't bite...necks.,https://en.wikipedia.org/wiki/Lesbian_vampire
Lion-Eating Poet in the Stone Den,A poem written by a Chinese poet in Classical Chinese. It can be read and understood by all who understand the language even though it consists entirely of the word shi repeated 92 times in different tones.,https://en.wikipedia.org/wiki/Lion-Eating_Poet_in_the_Stone_Den
Lobby Lud,You are ____ and I claim my five pounds.,https://en.wikipedia.org/wiki/Lobby_Lud
Lopado­temacho­selacho­galeo­kranio­leipsano­drim­hypo­trimmato­silphio­karabo­melito­katakechy­meno­kichl­epi­kossypho­phatto­perister­alektryon­opte­kephallio­kigklo­peleio­lagoio­siraio­baphe­tragano­pterygon,A fictional dish with a quite long name.,https://en.wikipedia.org/wiki/Lopado%C2%ADtemacho%C2%ADselacho%C2%ADgaleo%C2%ADkranio%C2%ADleipsano%C2%ADdrim%C2%ADhypo%C2%ADtrimmato%C2%ADsilphio%C2%ADkarabo%C2%ADmelito%C2%ADkatakechy%C2%ADmeno%C2%ADkichl%C2%ADepi%C2%ADkossypho%C2%ADphatto%C2%ADperister%C2%ADalektryon%C2%ADopte%C2%ADkephallio%C2%ADkigklo%C2%ADpeleio%C2%ADlagoio%C2%ADsiraio%C2%ADbaphe%C2%ADtragano%C2%ADpterygon
Magical Negro,An outdated stock character who helps out white protagonists.,https://en.wikipedia.org/wiki/Magical_Negro
Manga Bible,And the Lord said unto John Omae wa mō shinde iru.,https://en.wikipedia.org/wiki/Manga_Bible_(series)
Marlovian theory of Shakespeare authorship,A theory which states that Christopher Marlowe's unnatural death was a hoax and that he continued to write and publish under the pseudonym William Shakespeare.,https://en.wikipedia.org/wiki/Marlovian_theory_of_Shakespeare_authorship
William McGonagall,A writer widely held to be the worst poet in the English language.,https://en.wikipedia.org/wiki/William_McGonagall
Men in Aida,A homoerotic homophonic translation of Homer: Men in Aida they appeal eh? A day O Achilles.,https://en.wikipedia.org/wiki/Men_in_Aida
The Meaning of Hitler,Sir Max Hastings called it 'among the best' studies of Hitler,https://en.wikipedia.org/wiki/The_Meaning_of_Hitler
Mock Turtle,The weirdest and least recorded character in Alice in Wonderland.,https://en.wikipedia.org/wiki/Mock_Turtle
My Immortal,A legendarily terrible piece of Harry Potter fan fiction that awkwardly inserted vampires time travel and emo/goff subcultures into J.K. Rowling's wizarding world. Someone who may have been the author of the piece almost got a major publishing deal for her memoirs.,https://en.wikipedia.org/wiki/My_Immortal_(fan_fiction)
Naked Came the Stranger,Journalists prove a point when their intentionally awful sex novel becomes a bestseller. Later the basis of a porn film starring Darby Lloyd Rains.,https://en.wikipedia.org/wiki/Naked_Came_the_Stranger
Old Possum's Book of Practical Cats,Cat poems by T. S. Eliot.,https://en.wikipedia.org/wiki/Old_Possum%27s_Book_of_Practical_Cats
Order of the Occult Hand,It was as if an occult hand had edited this Wikipedia article.,https://en.wikipedia.org/wiki/Order_of_the_Occult_Hand
On Bullshit,A very serious essay by Harry Frankfurt sketching a philosophical theory of well bullshit.,https://en.wikipedia.org/wiki/On_Bullshit
Ossian,The greatest poet that has ever existed according to Jefferson.  But he didn't.,https://en.wikipedia.org/wiki/Ossian
Philip M. Parker,Writer of “The 2007-2012 Outlook for Tufted Washable Scatter Rugs Bathmats and Sets That Measure 6-Feet by 9-Feet or Smaller in India” and thousands of other works... by means of a computer program.,https://en.wikipedia.org/wiki/Philip_M._Parker
Political interpretations of The Wonderful Wizard of Oz,Understanding the political context of the mid-to-late 1890s in the United States will give you a different understanding of the gold silver and emerald symbolism among other things.,https://en.wikipedia.org/wiki/Political_interpretations_of_The_Wonderful_Wizard_of_Oz
Rolling Stone (Uganda),The Uganda version of Rolling Stone is kinda different from the US version. It doesn't cover music but does list the names of alleged homosexuals calling for their deaths.,https://en.wikipedia.org/wiki/Rolling_Stone_(Uganda)
Amanda McKittrick Ros,The McGonagall of prose. J. R. R. Tolkien and C. S. Lewis competed as to who could read her longest without laughing.,https://en.wikipedia.org/wiki/Amanda_McKittrick_Ros
Pinocchio paradox,What if Pinocchio said his nose will grow?,https://en.wikipedia.org/wiki/Pinocchio_paradox
Saddam Hussein's novels,Crimes against literature?,https://en.wikipedia.org/wiki/Saddam_Hussein%27s_novels
The Satanic Verses,An infamous fictional play that to this day endangers its author's life due to religious fanatics. But not the ones that you might be thinking of.,https://en.wikipedia.org/wiki/The_Satanic_Verses
Shakespeare apocrypha,Anti-Stratfordians (see Shakespeare authorship question below) can take heart that there really are works attributed to Shakespeare that weren't written by him!,https://en.wikipedia.org/wiki/Shakespeare_apocrypha
Shakespeare authorship question,A great conspiracy that concealed the identity of the true author of Shakespeare's works implying that all contemporary references to Shakespeare's authorship were fraudulent or mistaken.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Society of Science Letters and Art,19th century bogus literary society which duped learned (and would-be learned) people into purchasing the right to the society's academic dress and letters after their name.,https://en.wikipedia.org/wiki/Society_of_Science,_Letters_and_Art
Peter Sotos,A writer and musician who explores serial killer and pedophile lore while simultaneously praising them in his work. For one of his magazine covers he used an image taken from real child pornography which he plead guilty to possessing.,https://en.wikipedia.org/wiki/Peter_Sotos
Striking and Picturesque Delineations of the Grand Beautiful Wonderful and Interesting Scenery Around Loch-Earn,Angus McDiarmad a native Scots-Gaelic speaker writes a book on a Scottish Highland area with the help of an English dictionary to great comic effect and is termed the world's worst author.,https://en.wikipedia.org/wiki/Striking_and_Picturesque_Delineations_of_the_Grand,_Beautiful,_Wonderful,_and_Interesting_Scenery_Around_Loch-Earn
Time travel in The Lord of the Rings,Turns out time travel is embedded into The Lord of the Rings in several different ways.,https://en.wikipedia.org/wiki/Time_travel_in_The_Lord_of_the_Rings
There once was a man from Nantucket...,A gratifying theme for limericks; some of them obscene.,https://en.wikipedia.org/wiki/There_once_was_a_man_from_Nantucket
Le Train de Nulle Part,A French novel 233 pages long written without verbs.,https://en.wikipedia.org/wiki/Le_Train_de_Nulle_Part
27 Club,A number of prominent musicians have died at this age though statisticians attribute the club to apophenia – seeing patterns in random data. See also the related white lighter myth.,https://en.wikipedia.org/wiki/27_Club
Animutation,The practice of taking lyrics of foreign songs mishearing them into English and producing a Flash video to go along with it.,https://en.wikipedia.org/wiki/Animutation
Rosemary Brown,A spiritualist who claimed that dead composers dictated new musical works to her.,https://en.wikipedia.org/wiki/Rosemary_Brown_(spiritualist)
Brian Wilson is a genius,A music journalist's meme from the 1960s that arguably destroyed the career of the Beach Boys' main songwriter and producer. (Within three years Wilson was working as a grocery store cashier.),https://en.wikipedia.org/wiki/Brian_Wilson_is_a_genius
Characters in Devo music videos,Q: Are We Not Men? A: We Are Wikipedia!,https://en.wikipedia.org/wiki/Characters_in_Devo_music_videos
Clapton is God,Graffiti that's famous for a photo of a dog urinating on it.,https://en.wikipedia.org/wiki/Clapton_is_God
Clear Channel memorandum,America banning Learn to Fly by Foo Fighters from radio airplay after 9/11 is an odd choice. Though What a Wonderful World by Louis Armstrong brings to mind more questions.,https://en.wikipedia.org/wiki/Clear_Channel_memorandum
Curse of the ninth,The superstition that any composer of symphonies from Beethoven onwards will die soon after writing their own Ninth Symphony.,https://en.wikipedia.org/wiki/Curse_of_the_ninth
The Dark Side of the Rainbow,What happens when you mix Pink Floyd and The Wizard of Oz?,https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Rainbow
Earworm,It's got a hook in you.,https://en.wikipedia.org/wiki/Earworm
Elvis impersonator,People pretend to be Elvis Presley and only him.,https://en.wikipedia.org/wiki/Elvis_impersonator
Elvis sightings,There are many who still believe.,https://en.wikipedia.org/wiki/Elvis_sightings
Fogerty v. Fantasy Inc.,That time John Fogerty was sued for sounding like himself.,https://en.wikipedia.org/wiki/Fogerty_v._Fantasy,_Inc.
Fyre Festival,The organizers spent so much money promoting the event that they ran out of money to spend on the actual event. They were later faced with eight lawsuits.,https://en.wikipedia.org/wiki/Fyre_Festival
Industrial musical,Not a subgenre of industrial music but a musical production performed for the employees of a business intended to create a feeling of being part of a team or to educate and motivate the management and salespeople to improve sales and profit.,https://en.wikipedia.org/wiki/Industrial_musical
List of classical music concerts with an unruly audience response,Concerts which didn't work out quite as well as hoped.,https://en.wikipedia.org/wiki/List_of_classical_music_concerts_with_an_unruly_audience_response
Literal music video,What happens when you replace the lyrics in a music video with lyrics that describe what's actually happening in the music video? Hilarity ensues.,https://en.wikipedia.org/wiki/Literal_music_video
Loudness war,Why recorded music is getting louder over time.,https://en.wikipedia.org/wiki/Loudness_war
Manualism,The little-known art of playing music by squeezing air through the hands.,https://en.wikipedia.org/wiki/Manualism_(hand_music)
Marilyn Manson–Columbine High School massacre controversy,News media falsely accused Marilyn Manson and his band of the same name for influencing two mass shooters who actually hated his music.,https://en.wikipedia.org/wiki/Marilyn_Manson%E2%80%93Columbine_High_School_massacre_controversy
Metal Open Air,Intended as Brazil's version of Wacken Open Air it instead became their version of Fyre Festival.,https://en.wikipedia.org/wiki/Metal_Open_Air
More Cowbell,I got a fever and the only prescription... is more cowbell!,https://en.wikipedia.org/wiki/More_Cowbell
More popular than Jesus,A remark that later proved deadly for John Lennon.,https://en.wikipedia.org/wiki/More_popular_than_Jesus
Mozart and scatology,Mozart was fond of toilet humour his letters to friends and family often contained scatological passages. He even wrote music dedicated to scatology which was shared among a closed group of most likely inebriated friends the most infamous of which is Leck mich im Arsch (literally Lick me in the arse).,https://en.wikipedia.org/wiki/Mozart_and_scatology
Musikalisches Würfelspiel,A system written by Wolfgang Amadeus Mozart in which the musical piece is decided randomly by playing dice.,https://en.wikipedia.org/wiki/Musikalisches_W%C3%BCrfelspiel
My Way killings,You can get killed for singing Frank Sinatra's signature tune in the Philippines.,https://en.wikipedia.org/wiki/My_Way_killings
P-Funk mythology,The whimsical universe surrounding the P Funk all stars.,https://en.wikipedia.org/wiki/P-Funk_mythology
Paul is dead,Was Paul McCartney replaced by a lookalike in the 1960s?,https://en.wikipedia.org/wiki/Paul_is_dead
Pink Floyd pigs,The band's recurring props and references.,https://en.wikipedia.org/wiki/Pink_Floyd_pigs
PopMart Tour,Take an unfinished studio album hold a press conference at Kmart and put on a show in countries around the world complete with a spinning mirrorball lemon a giant martini olive a large golden arch and the largest video screen ever toured. That would be U2's 1997–98 tour in a nutshell.,https://en.wikipedia.org/wiki/PopMart_Tour
Publius Enigma,A mystery wrapped in an enigma related to Pink Floyd which has remained unsolved since it appeared on Usenet in 1994.,https://en.wikipedia.org/wiki/Publius_Enigma
Operation Nifty Package,How do you get a dictator out of an embassy? With Music of course!,https://en.wikipedia.org/wiki/Operation_Nifty_Package
Rockism and poptimism,What happens when pop music fans take themselves way too seriously? Actually nothing fun.,https://en.wikipedia.org/wiki/Rockism_and_poptimism
Up to eleven,This article is one louder.,https://en.wikipedia.org/wiki/Up_to_eleven
Whamageddon,A festive music challenge where you have to avoid listening to a certain Christmas song throughout the Christmas period. Perfect if you're not a fan of George Michael.,https://en.wikipedia.org/wiki/Whamageddon
Blackbird,A playable violin made out of black stone.,https://en.wikipedia.org/wiki/Blackbird_(violin)
Cat organ,A keyboard instrument in which the keys cause cats to meow.,https://en.wikipedia.org/wiki/Cat_organ
Electroencephalophone,A musical instrument controlled by brainwaves.,https://en.wikipedia.org/wiki/Electroencephalophone
Escopetarra,The Colombian gun-guitar.,https://en.wikipedia.org/wiki/Escopetarra
Musical saw,The least favourite instrument of Ronnie Wood the Hollies and the Screaming Trees.,https://en.wikipedia.org/wiki/Musical_saw
Ugly stick,An instrument in Newfoundland an insult everywhere else.,https://en.wikipedia.org/wiki/Ugly_stick
Viola jokes,You can tell if a viola player is playing out of tune if you can see the bow moving.,https://en.wikipedia.org/wiki/Viola_jokes
Chap hop,Rap music about being English in the 19th-century.,https://en.wikipedia.org/wiki/Chap_hop
Chillwave,The term was invented to make fun of music journalists and bloggers who hype the next big thing. Ironically they then wrote about chillwave as the next big thing.,https://en.wikipedia.org/wiki/Chillwave
Christian ska,Psychedelic worship music.,https://en.wikipedia.org/wiki/Christian_ska
Danger music,The name is very much literal music that tries to harm the listener or performer.,https://en.wikipedia.org/wiki/Danger_music
Gothabilly,What if Buddy Holly was goth?,https://en.wikipedia.org/wiki/Gothabilly
Grunge speak,That time a receptionist convinced The New York Times that wack slacks was slang for ripped jeans and lamestain meant an uncool person.,https://en.wikipedia.org/wiki/Grunge_speak
Pirate metal,Heavy metal music combined with pirate mythology and jargon.,https://en.wikipedia.org/wiki/Pirate_metal
Proibidão,As part of a crackdown on drug cartels in Rio de Janeiro this uniquely Brazilian form of gangsta rap cannot legally be performed or broadcast on the radio.,https://en.wikipedia.org/wiki/Proibid%C3%A3o
Slutwave,From the same blog that brought you chillwave.,https://en.wikipedia.org/wiki/Slutwave
AKB48 Group,Girl group or franchise? Same with her official rival group and spin-off group as well!,https://en.wikipedia.org/wiki/AKB48_Group
Bull of Heaven,A group that is known for their extremely long albums. Most known for 210: Like a Wall in Which An Insect Lives and Gnaws; at a runtime of 5.7 years; their longest album is 310: ΩΣPx0(2^18×5^18)p*k*k*k at 3.343 quindecillion years long.,https://en.wikipedia.org/wiki/Bull_of_Heaven_(band)
GG Allin,An anarchist punk-rocker who would attack people attending his concerts consisting of hoarse disheveled vocals. He would also take an excessive amount of drugs strip naked and defecate on stage.,https://en.wikipedia.org/wiki/GG_Allin
CD Rev,Because nothing says gangsta like being funded by a corrupt communist government.,https://en.wikipedia.org/wiki/CD_Rev
Matt Farley,A songwriter who has released thousands of songs under at least seventy pseudonyms such as Papa Razzi and the Photogs The Hungry Food Band and The Odd Man Who Sings About Poop Puke and Pee,https://en.wikipedia.org/wiki/Matt_Farley
Joyce Hatto,A pianist who had many doctored recordings falsely attributed to her long after she stopped performing in public.,https://en.wikipedia.org/wiki/Joyce_Hatto
Bobby Jameson,A hippie singer-songwriter outcast who never received financial compensation for his songs and records. Thought to be dead after the 1960s but then resurfaced with a blog in 2007 aiming to set the record straight about his life story.,https://en.wikipedia.org/wiki/Bobby_Jameson
Jandek,A prolific and pseudonymous singer/songwriter active since 1978 who only grants the occasional interview and has never provided any biographical information.,https://en.wikipedia.org/wiki/Jandek
Florence Foster Jenkins,An American soprano famous for her singing ability or lack thereof.,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins
Half Man Half Biscuit,Have you ever listened to Man of Constant Sorrow (With a Garage in Constant Use) from the album No-One Cares About Your Creative Hub So Get Your Fuckin' Hedge Cut?,https://en.wikipedia.org/wiki/Half_Man_Half_Biscuit
Hanatarash,The Japanese noise band that drove a bulldozer into their concert venue.,https://en.wikipedia.org/wiki/Hanatarash
Hatari,A band that entered the 2019 Söngvakeppnin (Iceland's Eurovision Song Contest selection competition) as a joke only to win first place. The band then won third place in Eurovision's semi-finals advancing to the Grand Final and winning 10th place there.,https://en.wikipedia.org/wiki/Hatari_(band)
Hatebeak,The thing that should not beak.,https://en.wikipedia.org/wiki/Hatebeak
Okilly Dokilly,A band that performs metalcore songs about the character Ned Flanders from The Simpsons while dressed as the character as well.,https://en.wikipedia.org/wiki/Okilly_Dokilly
Kevin MacLeod,Perhaps the most heard musician on the whole internet.,https://en.wikipedia.org/wiki/Kevin_MacLeod
Merzbow,A Japanese experimental music group whose most popular album has been affectionately described as What a bug hears when it's being flushed down the toilet and Directly looking at the sun with your ears.,https://en.wikipedia.org/wiki/Merzbow
Moondog,A blind composer theoretician poet and inventor of musical instruments who dressed like a viking and lived as a street musician in New York between the 1940s and 1970s.,https://en.wikipedia.org/wiki/Moondog
MP4,Rock music and Members of Parliament do mix.,https://en.wikipedia.org/wiki/MP4_(band)
One Pound Fish Man,A man who works at a market who saw his sales patter go viral and challenge The X Factor for the Christmas number one single in 2012.,https://en.wikipedia.org/wiki/One_Pound_Fish_Man
Eilert Pilarm,The Elvis impersonator who looks and sounds nothing like Elvis according to Alfo Media.,https://en.wikipedia.org/wiki/Eilert_Pilarm
R. Stevie Moore,A one-man band who has self-released over 400 albums through his home-based mailing service since 1982. Later noted as a pioneer of DIY music and indie rock.,https://en.wikipedia.org/wiki/R._Stevie_Moore
The Shaggs,None of this band's members really wanted to form a band nor did they really have any musical talent but hey a fortune teller predicted success so off they went...,https://en.wikipedia.org/wiki/The_Shaggs
Thai Elephant Orchestra,An orchestra of elephants playing specially-designed instruments.,https://en.wikipedia.org/wiki/Thai_Elephant_Orchestra
Tout-à-Coup Jazz,An African jazz band from the 1970s whose membership included two future Burkinabé leaders Thomas Sankara and Blaise Compaoré with the latter overthrowing the other in a 1987 coup. Unbelievably the band's name was purely coincidental.,https://en.wikipedia.org/wiki/Tout-%C3%A0-Coup_Jazz
The Vegetable Orchestra,An Austrian orchestra whose musical instruments are made solely from vegetables.,https://en.wikipedia.org/wiki/The_Vegetable_Orchestra
